"iter_conv","calls_for_pi","last_F_value","iteration_K","final_K"
109,54500,0.0785483289867756,1,33.1154519586923
142,71000,0.099042745951942,1,33.1154519586923
122,61000,0.0989923231862169,1,33.1154519586923
81,40500,0.0789218434477207,1,33.1154519586923
155,77500,0.0989058539050283,1,33.1154519586923
44,22000,0.0958843642764163,1,33.1154519586923
105,52500,0.0905908440374407,1,33.1154519586923
199,99500,0.0592684298997369,1,33.1154519586923
71,35500,0.0948021377845097,1,33.1154519586923
90,45000,0.0870491660878347,1,33.1154519586923
80,40000,0.0758361788473147,1,33.1154519586923
228,114000,0.0875314276548094,1,33.1154519586923
79,39500,0.0882837175864381,1,33.1154519586923
89,44500,0.0989937321032362,1,33.1154519586923
154,77000,0.0948728890268788,1,33.1154519586923
150,75000,0.0947094772528151,1,33.1154519586923
102,51000,0.0745865099232781,1,33.1154519586923
633,316500,0.0993015176856978,1,33.1154519586923
83,41500,0.0977478882083352,1,33.1154519586923
48,24000,0.097846491978545,1,33.1154519586923
170,85000,0.0995343500505654,1,33.1154519586923
209,104500,0.0875328002843912,1,33.1154519586923
282,141000,0.099982399904684,1,33.1154519586923
62,31000,0.0997760864744396,1,33.1154519586923
78,39000,0.0875666801238596,1,33.1154519586923
79,39500,0.0965722990694446,1,33.1154519586923
845,422500,0.0984478400412397,1,33.1154519586923
45,22500,0.0831286413796964,1,33.1154519586923
78,39000,0.0991559989784743,1,33.1154519586923
40,20000,0.0910007988949347,1,33.1154519586923
76,38000,0.0880940630829678,1,33.1154519586923
113,56500,0.0989565252963949,1,33.1154519586923
146,73000,0.0961031076283334,1,33.1154519586923
127,63500,0.0965258675497178,1,33.1154519586923
62,31000,0.0995896433166388,1,33.1154519586923
181,90500,0.0974299594256725,1,33.1154519586923
63,31500,0.0838954012413678,1,33.1154519586923
327,163500,0.0906909040988691,1,33.1154519586923
149,74500,0.083494318969178,1,33.1154519586923
97,48500,0.0982317358624486,1,33.1154519586923
77,38500,0.0873417455559591,1,33.1154519586923
104,52000,0.0938831925948763,1,33.1154519586923
101,50500,0.087819137556534,1,33.1154519586923
82,41000,0.0994243851036729,1,33.1154519586923
159,79500,0.0994750204056305,1,33.1154519586923
43,21500,0.0871740235217155,1,33.1154519586923
95,47500,0.08522151484473,1,33.1154519586923
347,173500,0.0998891339660681,1,33.1154519586923
311,155500,0.0859658196916269,1,33.1154519586923
54,27000,0.0951126895106238,1,33.1154519586923
