"iter_conv","calls_for_pi","last_F_value"
8734,47738,0.492493608562198
7290,41518,0.490828174241808
8769,50161,0.498988007233309
27514,166416,0.499286838974449
4950,31417,0.499978064342619
14035,84481,0.499989572298949
27921,167619,0.498040230318247
8644,54215,0.498351864392472
5734,33793,0.493751933504945
630,4809,0.3675465143517
5579,29459,0.484781990188703
6553,44562,0.498498083431761
63281,385462,0.498773334806957
4628,25921,0.495796618691593
9701,60247,0.496566860027123
30493,178151,0.499993243280202
6478,35731,0.49400661792825
3975,23079,0.486301235572273
23102,144691,0.497368109123589
2373,13318,0.445708229303897
900,5676,0.499748613547437
16818,99801,0.495180406594657
4836,32099,0.49501605438927
3761,22467,0.499964687875223
9280,57637,0.499986101582713
2445,13987,0.460714610356963
9997,63727,0.499837750481758
1352,6725,0.499954226003028
22009,134245,0.498556086781084
11239,66760,0.499522392141995
9423,54397,0.499991254716025
6050,40079,0.499982888125008
12789,81245,0.498494960667245
1105,10060,0.470957471597205
630,5207,0.430760147829841
5748,36593,0.491751644233814
2993,20704,0.494410346946594
1069,7835,0.498247310126792
16723,108064,0.49902600769865
5713,36558,0.498304455752838
14276,84722,0.498501429592496
8690,49684,0.489923642951754
2393,14930,0.486421083803101
12187,72484,0.49699191924854
5200,30075,0.496212483573258
16590,99374,0.499986598854274
13559,87587,0.499987430807504
914,5491,0.37480205769676
7665,46669,0.494966045671751
22666,129330,0.496128787153535
