"method","t_ladder","sim","iterations","m0","m4","m5","m6","m1","m2","m3"
0,"0",53,-1,25026,22718,2187,69,0,0,0
0,"0",53,2,50041,45152,4687,120,0,0,0
0,"0",54,-1,25002,20327,4660,11,0,0,0
0,"0",54,2,50005,39206,10774,15,0,0,0
0,"0",55,-1,25004,14857,9821,318,0,0,0
0,"0",55,2,50008,34274,15269,449,0,0,0
0,"0",56,-1,25004,21238,2736,1022,0,0,0
0,"0",56,2,50004,42144,5097,2755,0,0,0
0,"0",57,-1,25001,18232,6765,2,0,0,0
0,"0",57,2,50003,35574,14396,27,0,0,0
0,"0",58,-1,25005,7263,17626,106,0,0,0
0,"0",58,2,50002,12486,37419,93,0,0,0
0,"0",59,-1,25001,23108,80,1811,0,0,0
0,"0",59,2,50001,45624,147,4228,0,0,0
0,"0",60,-1,25002,8825,5,16168,0,0,0
0,"0",60,2,50003,16742,5,33250,0,0,0
0,"0",61,-1,25006,16375,8417,202,0,0,0
0,"0",61,2,50014,35006,14521,459,0,0,0
0,"0",62,-1,25003,0,0,0,14431,10507,59
0,"0",62,2,50002,41334,8606,58,0,0,0
0,"0",63,-1,25001,15672,7,9320,0,0,0
0,"0",63,2,50007,27342,63,22588,0,0,0
0,"0",64,-1,25004,19274,65,5657,0,0,0
0,"0",64,2,50005,39200,60,10735,0,0,0
0,"0",65,-1,25008,20713,566,3713,0,0,0
0,"0",65,2,50006,42145,746,7103,0,0,0
0,"0",66,-1,25003,0,0,0,18617,4566,1814
0,"0",66,2,50004,20330,500,29166,0,0,0
0,"0",67,-1,25003,23164,529,1304,0,0,0
0,"0",67,2,50003,48466,217,1314,0,0,0
0,"0",68,-1,25002,11878,2,13118,0,0,0
0,"0",68,2,50005,23883,23,26089,0,0,0
0,"0",69,-1,25004,1830,0,23166,0,0,0
0,"0",69,2,50003,3604,1,46392,0,0,0
0,"0",70,-1,25003,21161,747,3089,0,0,0
0,"0",70,2,50004,42516,803,6677,0,0,0
0,"0",71,-1,25001,15878,24,9097,0,0,0
0,"0",71,2,50002,33592,76,16330,0,0,0
0,"0",72,-1,25001,23516,1187,296,0,0,0
0,"0",72,2,50006,47783,1603,608,0,0,0
0,"0",73,-1,25005,21587,3306,102,0,0,0
0,"0",73,2,50003,43560,6169,268,0,0,0
0,"0",74,-1,25005,21037,1907,2051,0,0,0
0,"0",74,2,50009,41146,3557,5288,0,0,0
0,"0",75,-1,25001,22954,56,1989,0,0,0
0,"0",75,2,50003,45225,118,4654,0,0,0
0,"0",76,-1,25003,22978,4,2015,0,0,0
0,"0",76,2,50001,43920,24,6055,0,0,0
0,"0",77,-1,25002,23675,905,418,0,0,0
0,"0",77,2,50004,46428,2180,1388,0,0,0
0,"0",78,-1,25002,24289,420,289,0,0,0
0,"0",78,2,50004,48631,843,522,0,0,0
0,"0",79,-1,25004,23752,681,563,0,0,0
0,"0",79,2,50003,45543,2183,2271,0,0,0
0,"0",80,-1,25002,23322,583,1093,0,0,0
0,"0",80,2,50003,45915,1207,2875,0,0,0
0,"0",81,-1,25002,24521,56,421,0,0,0
0,"0",81,2,50003,48955,243,799,0,0,0
0,"0",82,-1,25001,15520,9445,34,0,0,0
0,"0",82,2,50003,31259,18670,68,0,0,0
0,"0",83,-1,25001,23418,997,584,0,0,0
0,"0",83,2,50003,46986,2180,831,0,0,0
0,"0",84,-1,25003,21245,5,3747,0,0,0
0,"0",84,2,50005,42510,15,7470,0,0,0
0,"0",85,-1,25001,12550,12429,20,0,0,0
0,"0",85,2,50002,23733,26199,66,0,0,0
0,"0",86,-1,25002,18514,6351,133,0,0,0
0,"0",86,2,50003,36415,13316,266,0,0,0
0,"0",87,-1,25002,21297,1951,1750,0,0,0
0,"0",87,2,50004,43990,2390,3616,0,0,0
0,"0",88,-1,25005,8902,9,16084,0,0,0
0,"0",88,2,50003,20101,23,29873,0,0,0
0,"0",89,-1,25002,24501,228,269,0,0,0
0,"0",89,2,50002,48823,277,898,0,0,0
0,"0",90,-1,25002,22720,2215,63,0,0,0
0,"0",90,2,50006,43599,6114,281,0,0,0
0,"0",91,-1,25002,14994,9763,241,0,0,0
0,"0",91,2,50002,29934,19723,341,0,0,0
0,"0",92,-1,25004,20740,4030,226,0,0,0
0,"0",92,2,50001,38402,11164,433,0,0,0
0,"0",93,-1,25001,17710,2,7287,0,0,0
0,"0",93,2,50003,37771,6,12220,0,0,0
0,"0",94,-1,25003,11294,13214,489,0,0,0
0,"0",94,2,50005,21330,28240,425,0,0,0
0,"0",95,-1,25002,22149,2840,9,0,0,0
0,"0",95,2,50007,44270,5698,25,0,0,0
0,"0",96,-1,25005,14545,12,10438,0,0,0
0,"0",96,2,50005,28516,16,21463,0,0,0
0,"0",97,-1,25001,20725,2983,1291,0,0,0
0,"0",97,2,50004,41097,6709,2190,0,0,0
0,"0",98,-1,25004,10943,9,14044,0,0,0
0,"0",98,2,50004,22769,0,27227,0,0,0
0,"0",99,-1,25005,0,0,0,16430,8557,8
0,"0",99,2,50029,45760,202,4009,0,0,0
0,"0",100,-1,25002,16244,7,8747,0,0,0
0,"0",100,2,50004,35206,7,14783,0,0,0
1,"1",1,-1,24635,17516,0,7849,0,0,0
1,"1",1,2,48552,17854,0,7849,23378,2367,0
1,"1",2,-1,26050,4859,9097,9994,0,0,0
1,"1",2,2,52868,13393,15880,17859,0,0,0
1,"1",3,-1,28041,0,0,21959,0,0,0
1,"1",3,2,48621,28575,1412,0,0,21392,0
1,"1",4,-1,27851,0,0,0,15917,6232,0
1,"1",4,2,54085,0,0,0,16326,6913,22676
1,"1",5,-1,27220,22780,0,0,0,0,0
1,"1",5,2,49146,25332,5825,19697,0,0,0
1,"1",6,-1,27591,22409,0,0,0,0,0
1,"1",6,2,54522,31457,6444,7577,0,0,0
1,"1",7,-1,25972,5837,8615,9576,0,0,0
1,"1",7,2,55624,0,0,0,31563,10442,2371
1,"1",8,-1,26716,0,0,0,21472,1812,0
1,"1",8,2,48534,20453,26437,4576,0,0,0
1,"1",9,-1,27430,0,0,0,3708,149,18713
1,"1",9,2,47398,5309,16563,0,16057,1060,13613
1,"1",10,-1,28219,11189,2751,7841,0,0,0
1,"1",10,2,51007,36834,5726,6433,0,0,0
1,"1",11,-1,31909,0,0,0,0,13660,4431
1,"1",11,2,54005,0,0,0,25826,6522,13647
1,"1",12,-1,28954,0,0,0,0,11299,9747
1,"1",12,2,57094,8231,24508,10167,0,0,0
1,"1",13,-1,30235,0,0,0,11236,3849,4680
1,"1",13,2,55144,0,0,0,8426,0,36430
1,"1",14,-1,28647,0,0,0,19750,1603,0
1,"1",14,2,52273,26143,20151,1433,0,0,0
1,"1",15,-1,27995,9968,8021,4016,0,0,0
1,"1",15,2,52894,8149,17242,21715,0,0,0
1,"1",16,-1,27919,17941,3976,164,0,0,0
1,"1",16,2,55434,6287,37827,452,0,0,0
1,"1",17,-1,27419,6283,14728,1570,0,0,0
1,"1",17,2,53881,35453,9356,1310,0,0,0
1,"1",18,-1,25473,0,0,0,0,23592,935
1,"1",18,2,51103,9840,38489,568,0,0,0
1,"1",19,-1,25082,0,0,0,4243,5093,15582
1,"1",19,2,53161,6209,3788,36842,0,0,0
1,"1",20,-1,27606,0,0,0,17238,5156,0
1,"1",20,2,55212,37400,0,7388,0,0,0
1,"1",21,-1,28538,19967,0,1495,0,0,0
1,"1",21,2,55243,26020,16572,2165,0,0,0
1,"1",22,-1,27238,0,0,0,17927,1924,2911
1,"1",22,2,51667,29499,8530,10304,0,0,0
