"iter_conv","calls_for_pi","last_F_value"
32972,205306,0.497517757063616
3787,22692,0.475029350511021
15148,87982,0.494909764550681
8109,48904,0.48982534058929
40077,239077,0.498955411389398
38284,231712,0.499397513998256
1894,9854,0.418590166418491
47860,277705,0.499999070822575
4105,25597,0.490802947104136
4544,27031,0.49910544867715
2812,14951,0.495086822636774
29110,185126,0.498015409360646
11093,70594,0.499530532332515
7280,44692,0.492322632870125
9153,59301,0.491626053561671
3640,24734,0.473057837716524
3205,20518,0.47795928560375
22555,136383,0.497180477865284
15816,97605,0.497088152033198
2125,13468,0.474605289975189
4051,23354,0.48622646386345
2062,14201,0.459000189369489
2278,17601,0.494765610077062
7327,43346,0.498618217789708
16397,93211,0.495394976080397
78039,466089,0.498698288959147
28779,169273,0.49975954760485
1902,13444,0.485385665358347
1520,9480,0.499937645589892
11843,75921,0.499891162187447
1914,13257,0.481322483323811
9995,54571,0.498353393997464
875,4656,0.434327679199324
630,4212,0.486407954735796
7719,50305,0.499628299017835
19746,115067,0.494520563475876
929,6899,0.388635858561784
4965,26457,0.481071178549873
24604,152959,0.496147499814894
4958,30430,0.49747598509987
4053,23754,0.495924455493408
1381,6356,0.486189881675149
9794,62927,0.489642124531056
3710,21023,0.474930931980946
1338,8104,0.440483211000183
1829,12376,0.486901361692523
4841,26731,0.497033833462093
20676,116793,0.496031438358464
24665,149637,0.499999811014455
8651,46461,0.499953613659563
