"iter_conv","calls_for_pi","last_F_value"
253,50600,0.429453219609304
252,50400,0.49993485344268
601,120200,0.490513533188604
385,77000,0.499867371314867
149,29800,0.471729508657442
1018,203600,0.499922511751268
332,66400,0.497278157736122
189,37800,0.499530482967065
192,38400,0.498532265251679
243,48600,0.499185240798895
2409,481800,0.498579176859419
313,62600,0.499872616396749
1471,294200,0.48343942829182
187,37400,0.48409248557433
152,30400,0.499664791146645
615,123000,0.491947403743652
251,50200,0.498862466024054
207,41400,0.45055518132493
97,19400,0.48540025985431
181,36200,0.496726740822131
379,75800,0.479112833038516
283,56600,0.491616568003262
251,50200,0.495204381232908
589,117800,0.492610835861024
711,142200,0.496559008234754
269,53800,0.470268373217836
179,35800,0.477137987554006
447,89400,0.492361867228692
45,9000,0.226780939409998
269,53800,0.483743424185645
69,13800,0.404735615597998
387,77400,0.497329234467811
227,45400,0.499170247462642
1779,355800,0.498508679305642
1321,264200,0.499657128778993
291,58200,0.486224824985976
597,119400,0.496220385420472
552,110400,0.499144010528145
559,111800,0.498111978511
1175,235000,0.498989738724172
387,77400,0.487200951509622
137,27400,0.489500230236625
1307,261400,0.499531813297677
91,18200,0.491550318671016
107,21400,0.448254661757637
1165,233000,0.497067034521401
43,8600,0.427406595047147
143,28600,0.498345428204824
661,132200,0.499557060305618
93,18600,0.373724593626242
