"iter_conv","calls_for_pi","last_F_value"
284289,284289,0.499995080509321
13897,13897,0.499988276851028
26912,26912,0.499980460108065
53636,53636,0.499989840367417
103298,103298,0.499989569425755
49332,49332,0.499997239852933
64845,64845,0.499985039169331
83711,83711,0.499987031437073
36727,36727,0.499963922277554
19782,19782,0.499966510139459
3555,3555,0.49972151683135
10844,10844,0.499934008184148
38698,38698,0.499981144359093
9833,9833,0.499994275495717
20909,20909,0.499940090105879
295428,295428,0.499995492571762
73379,73379,0.499992913102951
41222,41222,0.499976356043391
123258,123258,0.499992162816766
27052,27052,0.499998921160527
395718,395718,0.499997685845771
138857,138857,0.499996323778634
7899,7899,0.499911895039771
9777,9777,0.499963894917841
31308,31308,0.499983841660672
53832,53832,0.499991142871255
72258,72258,0.499988101581805
98394,98394,0.499994372127267
184186,184186,0.499992196071561
15689,15689,0.499948453545386
19647,19647,0.49999040569994
367568,367568,0.499996109724003
9364,9364,0.499862397365623
55489,55489,0.499990475839349
8674,8674,0.499890604122052
2907,2907,0.499801390813234
28247,28247,0.499984252235147
254008,254008,0.499999917683006
26292,26292,0.49995569308364
112495,112495,0.499991571055895
12453,12453,0.49993753537354
22498,22498,0.499996695357515
187598,187598,0.499993369426181
45948,45948,0.499985588192655
3749,3749,0.499879368654618
179818,179818,0.499994727334614
25808,25808,0.499986938229704
31240,31240,0.499958161829957
227568,227568,0.499999403496846
179836,179836,0.499999805994904
