"iter_conv","calls_for_pi","last_F_value","iteration_K","final_K"
288,144000,0.0995837021356181,1,20.0855369231877
644,322000,0.0999105876741689,1,20.0855369231877
261,130500,0.0994225499770554,1,20.0855369231877
508,254000,0.09381774953498,1,20.0855369231877
176,88000,0.0976024585090355,1,20.0855369231877
478,239000,0.0997909414776803,1,20.0855369231877
600,3e+05,0.0973643103381118,1,20.0855369231877
651,325500,0.0993714259528212,1,20.0855369231877
863,431500,0.097155632029258,1,20.0855369231877
777,388500,0.0999142317733926,1,20.0855369231877
241,120500,0.0996125873555482,1,20.0855369231877
318,159000,0.0959890743851911,1,20.0855369231877
300,150000,0.0977017500913141,1,20.0855369231877
555,277500,0.0997815613222087,1,20.0855369231877
878,439000,0.0984762340721893,1,20.0855369231877
595,297500,0.0982415260877437,1,20.0855369231877
382,191000,0.0999838737745456,1,20.0855369231877
1321,660500,0.0906648645147819,1,20.0855369231877
984,492000,0.0999854076395873,1,20.0855369231877
236,118000,0.0994873953445879,1,20.0855369231877
384,192000,0.0969776829398151,1,20.0855369231877
390,195000,0.0896049147295469,1,20.0855369231877
241,120500,0.0967667101635339,1,20.0855369231877
208,104000,0.0906391707759579,1,20.0855369231877
486,243000,0.0998900661317728,1,20.0855369231877
364,182000,0.0999209675816762,1,20.0855369231877
671,335500,0.0991393440224256,1,20.0855369231877
244,122000,0.0999510337563383,1,20.0855369231877
273,136500,0.0988346749297932,1,20.0855369231877
261,130500,0.0992966020784002,1,20.0855369231877
665,332500,0.0992165213939342,1,20.0855369231877
579,289500,0.0947775904567193,1,20.0855369231877
1564,782000,0.0994673174526374,1,20.0855369231877
276,138000,0.099994821697829,1,20.0855369231877
565,282500,0.09879279762685,1,20.0855369231877
231,115500,0.094309569454263,1,20.0855369231877
623,311500,0.0974444220075232,1,20.0855369231877
1639,819500,0.0988055321693301,1,20.0855369231877
289,144500,0.0988036088217085,1,20.0855369231877
168,84000,0.0993238331556207,1,20.0855369231877
213,106500,0.0984423258696947,1,20.0855369231877
233,116500,0.096552316789382,1,20.0855369231877
327,163500,0.0944715411464981,1,20.0855369231877
442,221000,0.095896593815433,1,20.0855369231877
213,106500,0.0993970623423611,1,20.0855369231877
735,367500,0.0994712758824994,1,20.0855369231877
208,104000,0.09934687829707,1,20.0855369231877
319,159500,0.099629767310524,1,20.0855369231877
271,135500,0.093088264782449,1,20.0855369231877
213,106500,0.0977397430622324,1,20.0855369231877
