"iter_conv","calls_for_pi","last_F_value"
5e+05,5e+05,0.73608101858272
45580,45580,0.499998175294769
173567,173567,0.499994250060628
76773,76773,0.499999537875706
13476,13476,0.499997450473905
15398,15398,0.499971547744191
6045,6045,0.499811636179916
38755,38755,0.499972323540925
16375,16375,0.4999902391765
5909,5909,0.499902483708576
18978,18978,0.499998973327169
5e+05,5e+05,0.734082976334942
299525,299525,0.499997446020736
247643,247643,0.499996476867428
9137,9137,0.499950117864612
28411,28411,0.499971959472794
34658,34658,0.499984566479388
5860,5860,0.499801719375767
15993,15993,0.499998740482802
6539,6539,0.499988575235844
29897,29897,0.499956951796694
36976,36976,0.499970217203173
211067,211067,0.499996632444046
111082,111082,0.499990353662585
18156,18156,0.499984305607775
116154,116154,0.49999463361658
23873,23873,0.499941944273576
53860,53860,0.499994288541874
12983,12983,0.499921696789176
32129,32129,0.499968205049194
153953,153953,0.499996709251528
11775,11775,0.499964865716478
467165,467165,0.499999200317011
62640,62640,0.499998921454927
30179,30179,0.499999989261378
120516,120516,0.499998328321401
32564,32564,0.499971065088719
284851,284851,0.499995349415331
155074,155074,0.499994234007648
52110,52110,0.499988990325121
175545,175545,0.499995436490014
16460,16460,0.499964046546828
23189,23189,0.499947827332779
26188,26188,0.499974559734022
4733,4733,0.499960219997025
16213,16213,0.499966277214827
37631,37631,0.499996316586261
148712,148712,0.499993091588177
50323,50323,0.499983643850909
280514,280514,0.499995653602719
