"iter_conv","calls_for_pi","last_F_value","iteration_K","final_K"
59,29500,0.0919645488503532,0,2430925.17827262
67,33500,0.0850159881714036,0,2430925.17827262
79,39500,0.0729158288607756,0,2430925.17827262
55,27500,0.0747099008918905,0,2430925.17827262
59,29500,0.0690997270929372,0,2430925.17827262
55,27500,0.0596593402130547,0,2430925.17827262
69,34500,0.0966746964313384,0,2430925.17827262
67,33500,0.0363513119414807,0,2430925.17827262
67,33500,0.0689769233992958,0,2430925.17827262
69,34500,0.0845654828897355,0,2430925.17827262
65,32500,0.0940284295313933,0,2430925.17827262
55,27500,0.0466157694228258,0,2430925.17827262
63,31500,0.0980371721209141,0,2430925.17827262
53,26500,0.0760663864686204,0,2430925.17827262
69,34500,0.0900609444540831,0,2430925.17827262
99,49500,0.0853676786734377,0,2430925.17827262
89,44500,0.0988068507577721,0,2430925.17827262
53,26500,0.0878775074125436,0,2430925.17827262
61,30500,0.0929574590631273,0,2430925.17827262
59,29500,0.0864643101642355,0,2430925.17827262
58,29000,0.098906161281168,0,2430925.17827262
71,35500,0.0771480785497551,0,2430925.17827262
61,30500,0.085392510083301,0,2430925.17827262
57,28500,0.0544097405879814,0,2430925.17827262
77,38500,0.0713924149511607,0,2430925.17827262
73,36500,0.0983241495593823,0,2430925.17827262
65,32500,0.0641005465135154,0,2430925.17827262
57,28500,0.0891873269601475,0,2430925.17827262
59,29500,0.0521528779789279,0,2430925.17827262
59,29500,0.0985818567370713,0,2430925.17827262
59,29500,0.0633975939033269,0,2430925.17827262
57,28500,0.0573025728111784,0,2430925.17827262
85,42500,0.0816332240091586,0,2430925.17827262
61,30500,0.0673124750440506,0,2430925.17827262
61,30500,0.0710072615084344,0,2430925.17827262
61,30500,0.072417281402463,0,2430925.17827262
61,30500,0.0685828212320456,0,2430925.17827262
55,27500,0.0790680505779419,0,2430925.17827262
69,34500,0.0920774165178928,0,2430925.17827262
79,39500,0.0858500602384802,0,2430925.17827262
59,29500,0.0686770605401819,0,2430925.17827262
73,36500,0.0839604790779455,0,2430925.17827262
65,32500,0.0763017073827408,0,2430925.17827262
55,27500,0.087759321817523,0,2430925.17827262
61,30500,0.0822183284746587,0,2430925.17827262
71,35500,0.0754166397012728,0,2430925.17827262
103,51500,0.0934329364246428,0,2430925.17827262
69,34500,0.075620642337828,0,2430925.17827262
57,28500,0.0981835476958573,0,2430925.17827262
101,50500,0.0589351686980623,0,2430925.17827262
