"iter_conv","calls_for_pi","last_F_value"
492,49200,0.0997826645980854
1685,168500,0.0991663447841248
1172,117200,0.0999190075329121
812,81200,0.0999314647015583
978,97800,0.0993025351743034
1009,100900,0.0994876464418874
3257,325700,0.0997563064223282
1048,104800,0.0999946533510334
589,58900,0.0999596704566984
815,81500,0.0998096224876028
3413,341300,0.0992619851606986
2335,233500,0.0999191143554419
271,27100,0.0924269441402566
160,16000,0.0918730060389062
2369,236900,0.0996505437423818
1397,139700,0.0985968388371838
1779,177900,0.0994031570618537
636,63600,0.0993782094699783
872,87200,0.0996733541995146
792,79200,0.0984016101059099
449,44900,0.099822436740348
1049,104900,0.0986447860121223
1015,101500,0.0999761088687145
595,59500,0.0985643141542006
464,46400,0.099293532851646
847,84700,0.0998333059308138
946,94600,0.09968882666557
1171,117100,0.0999089590825823
795,79500,0.0985576959209467
521,52100,0.099749377503538
891,89100,0.0985700987130739
943,94300,0.0993337616524244
403,40300,0.0964544071884658
3438,343800,0.0998657419969809
742,74200,0.0983654983089515
2237,223700,0.0999784771296545
1025,102500,0.0989126884866566
2473,247300,0.0998025144059762
390,39000,0.0985034676464053
1419,141900,0.0998972928032137
870,87000,0.0984133438721157
589,58900,0.0958140907659265
1081,108100,0.0988724247979902
1203,120300,0.0994899413335162
3919,391900,0.0999744304253762
658,65800,0.0999329131434987
865,86500,0.0996924053489634
309,30900,0.098288240928609
294,29400,0.0956373889431884
2673,267300,0.0999957172735992
