"iter_conv","calls_for_pi","last_F_value"
5e+05,5e+05,0.710379279918399
28396,28396,0.499978101629225
80423,80423,0.499986517123087
165074,165074,0.499997017714327
5e+05,5e+05,0.736593611531269
213742,213742,0.499994331069489
16782,16782,0.499949105936683
283483,283483,0.49999846361725
361808,361808,0.499996864513874
68716,68716,0.499986808272113
12595,12595,0.499892620143305
237918,237918,0.499994249186934
97953,97953,0.499987930849621
15656,15656,0.499994152384329
51367,51367,0.499982210708388
5e+05,5e+05,0.666751617892761
5e+05,5e+05,0.97430792542206
20100,20100,0.499987228095799
288647,288647,0.499996415088178
107494,107494,0.499999422559646
260521,260521,0.499999537246059
269403,269403,0.499999749940337
352112,352112,0.499998096702783
41043,41043,0.499986802078711
22167,22167,0.499985922940805
157088,157088,0.499993327283517
349938,349938,0.499999425307435
160818,160818,0.499998138289984
26061,26061,0.499959122213373
26021,26021,0.499989432565045
110481,110481,0.499993686936222
210452,210452,0.499996389519784
215151,215151,0.499995769767491
49362,49362,0.499994782210464
77758,77758,0.499999307285358
37032,37032,0.499981888979504
159041,159041,0.499995621575882
434920,434920,0.499998184157476
272302,272302,0.499999076074297
209461,209461,0.499999100917207
28627,28627,0.499986509359929
152981,152981,0.499993418089256
59807,59807,0.499976648690687
142186,142186,0.499994231549102
167899,167899,0.49999494012378
61822,61822,0.499992614079049
51399,51399,0.499977271222643
5e+05,5e+05,0.750962939630645
5e+05,5e+05,0.998556749889543
277890,277890,0.499998811600044
