"iter_conv","calls_for_pi","last_F_value"
481,96200,0.495335886205943
2337,467400,0.49991500987743
1894,378800,0.499924438978433
541,108200,0.483663238939174
1021,204200,0.494259621247947
1097,219400,0.495631170573329
42,8400,0.492804969200451
75,15000,0.457799223559012
183,36600,0.477816546711384
521,104200,0.498546538989151
345,69000,0.495624063648641
401,80200,0.495098215490909
128,25600,0.499416782631272
963,192600,0.498756369156588
627,125400,0.495509992574
59,11800,0.493657152016064
191,38200,0.453990808096656
829,165800,0.499847805616377
179,35800,0.497606471478776
47,9400,0.416532796212849
173,34600,0.4784897943137
1165,233000,0.4961892636714
1137,227400,0.491422205244109
1693,338600,0.498158209437439
123,24600,0.482534207413768
1002,200400,0.499805816963885
463,92600,0.496764780248434
1975,395000,0.498269576871799
502,100400,0.498749684580678
2007,401400,0.498168419110634
140,28000,0.496231926050713
147,29400,0.499601036770139
625,125000,0.496901575154341
183,36600,0.48003262542615
101,20200,0.480763694194324
501,100200,0.491122532285802
1307,261400,0.495945384436408
75,15000,0.481076758029689
395,79000,0.499984332079273
161,32200,0.493068434815131
459,91800,0.499605428793314
257,51400,0.498094486994116
89,17800,0.464156407402648
297,59400,0.495619294122563
391,78200,0.483133508628879
39,7800,0.393395760242114
611,122200,0.499034857706398
567,113400,0.497579319286531
875,175000,0.498708294417245
227,45400,0.489879276799707
