"iter_conv","calls_for_pi","last_F_value"
74447,74447,0.0999966790589984
36140,36140,0.0999936022498969
29891,29891,0.0999957296353504
159463,159463,0.099998744738333
76918,76918,0.099999212316416
40728,40728,0.0999999802220026
58127,58127,0.0999895350288589
23081,23081,0.0999573416848738
98255,98255,0.0999995556465572
57927,57927,0.0999861624164198
89419,89419,0.0999997629555191
26970,26970,0.0999594120390708
56061,56061,0.0999982320009805
112103,112103,0.0999969616340687
27878,27878,0.0999758803286411
31319,31319,0.099996099053956
62264,62264,0.0999890287067347
110356,110356,0.0999970162008924
66792,66792,0.099995304601292
108563,108563,0.099996999792705
72476,72476,0.0999918311347912
84668,84668,0.0999935643386529
181998,181998,0.0999993402984721
76336,76336,0.0999937047747358
347477,347477,0.099999368222395
108487,108487,0.0999902675776965
56408,56408,0.0999926427795809
77073,77073,0.0999955884235688
189498,189498,0.0999982950731365
50872,50872,0.0999912091354307
105593,105593,0.0999965869457309
38403,38403,0.0999926804466826
73368,73368,0.0999950683896257
218084,218084,0.0999979351982803
134995,134995,0.0999960105455915
97559,97559,0.0999966190444952
53734,53734,0.0999867800188581
111020,111020,0.0999963341052957
104636,104636,0.0999994916315826
47013,47013,0.0999982663130378
66934,66934,0.0999903191878561
36722,36722,0.0999807069234971
122785,122785,0.0999978905710154
200460,200460,0.0999955192645445
60089,60089,0.0999951336207086
152214,152214,0.0999983875353988
101604,101604,0.0999923211704701
67413,67413,0.0999989338677345
160454,160454,0.0999999154399447
44572,44572,0.0999968187556197
