"iter_conv","calls_for_pi","last_F_value"
97,19400,0.460224790770382
29,5800,0.244896326979757
27,5400,0.292059729613945
2409,481800,0.498009477575776
1539,307800,0.49912481206245
392,78400,0.499774646495848
115,23000,0.48616589203873
693,138600,0.49782472418039
43,8600,0.350084543977912
285,57000,0.487943061625267
219,43800,0.484022739491862
149,29800,0.484945825913334
415,83000,0.491428339085107
555,111000,0.498253038995355
559,111800,0.486394139118643
25,5000,0.156761421620421
1470,294000,0.499928200954617
195,39000,0.476582240315386
1827,365400,0.498183732032897
201,40200,0.490811418341316
809,161800,0.494555911617553
501,100200,0.495003059476364
441,88200,0.499925253063029
343,68600,0.483188618653231
173,34600,0.469349985722911
439,87800,0.488958942633397
119,23800,0.448701927057786
289,57800,0.495564729056044
111,22200,0.446349910748427
145,29000,0.482593422989381
415,83000,0.498700163004117
77,15400,0.378007701606061
1035,207000,0.497888204387539
799,159800,0.495766279927821
74,14800,0.499659724213873
342,68400,0.49989472131526
2897,579400,0.499162992531535
359,71800,0.468861551285327
141,28200,0.469834792949897
151,30200,0.48417850445363
61,12200,0.437559582559369
429,85800,0.471059975589026
401,80200,0.495885021260799
335,67000,0.499910774951108
89,17800,0.448206092243592
241,48200,0.464600171530161
131,26200,0.468770471991808
335,67000,0.478055272307114
1265,253000,0.499010475405571
471,94200,0.495094942630662
